Linux 6.14.0-33-generic (revathy-Lenovo-ideapad-130-15IKB) 	11/23/2025 	_x86_64_	(8 CPU)

12:51:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:33 PM  1000     32490   23.00   24.00    0.00    0.00   47.00     6  gnome-terminal-
12:51:33 PM     0     33399    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:2-events_unbound
12:51:33 PM     0     33725    0.00    2.00    0.00    0.00    2.00     6  kworker/u32:4-events_unbound
12:51:33 PM  1000     33852   73.00   23.00    0.00    0.00   96.00     0  server
12:51:33 PM   122     33857    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:33 PM   122     33859    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33860    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33865    0.00    1.00    0.00    0.00    1.00     1  postgres
12:51:33 PM   122     33879    1.00    0.00    0.00    0.00    1.00     2  postgres
12:51:33 PM   122     33880    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:33 PM   122     33884    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33885    0.00    1.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33889    1.00    0.00    0.00    0.00    1.00     4  postgres
12:51:33 PM   122     33894    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33900    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:33 PM   122     33903    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:33 PM   122     33904    1.00    0.00    0.00    0.00    1.00     6  postgres
12:51:33 PM   122     33907    0.00    1.00    0.00    0.00    1.00     2  postgres
12:51:33 PM   122     33911    0.00    1.00    0.00    0.00    1.00     7  postgres
12:51:33 PM   122     33913    1.00    0.00    0.00    0.00    1.00     5  postgres
12:51:33 PM   122     33914    1.00    0.00    0.00    0.00    1.00     7  postgres
12:51:33 PM   122     33924    1.00    0.00    0.00    0.00    1.00     4  postgres
